Назва товару,Ціна,Категорія
"Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG001ARA) Cloud Grey / 16"" IPS WUXGA / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / Підсвічування клавіатури / Зарядка через Type-C",27 999₴,Ноутбуки
"Ноутбук Acer Aspire 7 A715-76G-560W (NH.QMMEU.002) Charcoal Black / 15.6"" IPS Full HD / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / Підсвітка клавіатури",29 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN083 (90NR0GW1-M006E0) Mecha Gray / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12500H / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 3050, 4 ГБ",33 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13"" M1 8/256GB 2020 (MGN63) Space Gray",35 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG001ARA) Cloud Grey / 16"" IPS WUXGA / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / Підсвічування клавіатури / Зарядка через Type-C",27 999₴,Ноутбуки
"Ноутбук Acer Aspire 7 A715-76G-560W (NH.QMMEU.002) Charcoal Black / 15.6"" IPS Full HD / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / Підсвітка клавіатури",29 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN083 (90NR0GW1-M006E0) Mecha Gray / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12500H / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 3050, 4 ГБ",33 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13"" M1 8/256GB 2020 (MGN63) Space Gray",35 999₴,Ноутбуки
"Ноутбук HP 250 G9 (9V1E3AT) Asteroid Silver / 15.6"" IPS Full HD / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ",19 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Slim 3 15AMN8 (82XQ00L1RA) Arctic Grey / 15.6"" IPS Full HD / AMD Ryzen 5 7520U / RAM 16 ГБ / SSD 512 ГБ",20 499₴,Ноутбуки
"Ноутбук Acer Aspire 3 A315-59-51ST (NX.K6SEU.00M) Pure Silver / 15.6"" IPS Full HD / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ /",21 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA507NVR-LP086 (90NR0JK8-M00550) Jaeger Gray / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 7435HS / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 4060, 8 ГБ",44 999₴,Ноутбуки
Ноутбук HP Laptop 15s-fq5000ua (7X8E4EA) Spruce Blue / Intel Core i3-1215U / RAM 16 ГБ / SSD 512 ГБ,18 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 (2023) FA507NUR-LP003 (90NR0JP5-M00460) Mecha Gray / 15.6"" IPS 144 Гц / AMD Ryzen 7 7435HS / RAM 16 ГБ / SSD 512 ГБ / RTX 4050, 6 ГБ",41 999₴,Ноутбуки
"Ноутбук Lenovo V14 G4 IRU (83A000E0RA) Business Black / 14"" IPS Full HD / Intel Core i3-1315U / RAM 8 ГБ / SSD 512 ГБ",14 999₴,Ноутбуки
"Ноутбук HP Victus Gaming Laptop 15-fa0022ua (A2BK1EA) Performance Blue / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",31 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA507UI-LP064 (90NR0I65-M003A0) Mecha Gray / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 8845HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4070",59 999₴,Ноутбуки
"Ноутбук Acer Nitro V 15 ANV15-41-R9PG (NH.QSHEU.00B) Obsidian Black / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ + + Беспровідний геймпад Acer Nitro NGR300 в подарунок!",34 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13.6"" M2 8/256GB 2022 (MLXW3UA/A) Space Gray",48 499₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IAX9I (83FQ002FRA) Luna Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450HX / RAM 16 ГБ / SSD 1 ТБ / Intel Arc A530M / 4-Zone RGB Підсвічування клавіатури / Заряджання через Type-C",35 999₴,Ноутбуки
"Ноутбук ASUS Vivobook 15 X1502VA-BQ144 (90NB10T2-M005R0) Cool Silver / 15.6"" IPS Full HD / Intel Core i5-13500H / RAM 16 ГБ / SSD 512 ГБ",25 499₴,Ноутбуки
"Ноутбук HP Omen Gaming 16-wf0006ua (8F2D3EA) Shadow Black / 16.1"" IPS Full HD 165 Гц / Intel Core i7-13700HX / RAM 32 ГБ / SSD 1 ТБ / nVidia GeForce RTX 4060, 8 ГБ / Підсвітка клавіатури",62 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00RHRA) Cloud Grey / 15.6"" IPS / AMD Ryzen 3 7320U / RAM 16 ГБ / SSD 512 ГБ",18 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13.6"" M3 16/256GB 2024 (MC8K4UA/A) Midnight",59 999₴,Ноутбуки
"Ноутбук HP Victus Gaming 16-s0017ua (9G9J5EA) Mica Silver / 16.1"" IPS Full HD 144 Гц / AMD Ryzen 5 7640HS / RAM 32 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",43 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Slim 5 16IRL8 (82XF004MRA) Cloud Grey / 16"" IPS WUXGA / Intel Core i7-13620H / RAM 16 ГБ / SSD 512 ГБ / Підсвітка клавіатури / Зарядка через Type-C",30 999₴,Ноутбуки
"Ноутбук Acer TravelMate P4 TMP416-41-R7A2 (NX.VV0EU.006) Slate Blue / 16"" IPS WUXGA / AMD Ryzen 5 PRO 6650U / RAM 24 ГБ / SSD 1 ТБ",28 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming F17 FX707ZC4-HX028 (90NR0GX2-M003V0) Jaeger Gray / 17.3"" IPS Full HD 144 Гц / Intel Core i5-12500H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050",37 999₴,Ноутбуки
Ноутбук HP Laptop 15s-fq5032ua (8F322EA) Spruce Blue / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ,21 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00RGRA) Cloud Grey / 15.6"" IPS / AMD Ryzen 3 7320U / RAM 8 ГБ / SSD 512 ГБ",16 999₴,Ноутбуки
"Ноутбук Acer Aspire 7 A715-76G-56U7 (NH.QN4EU.001) Charcoal Black / 15.6"" IPS Full HD / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050, 4 ГБ / Підсвітка клавіатури",26 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming F17 FX707VV-HX142 (90NR0CH5-M00720) Mecha Gray / 17.3"" IPS Full HD 144 Гц / Intel Core i7-13620H / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 4060",55 999₴,Ноутбуки
Ноутбук HP Pavilion 15-eh3015ua (949X0EA) Fog Blue / AMD Ryzen 7 7730U / RAM 16 ГБ / SSD 512 ГБ,24 999₴,Ноутбуки
Ноутбук Acer Aspire 5 A515-57-59VX (NX.KN4EU.00C) Steel Gray / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / Підсвітка клавіатури / Зарядка через Type-C,24 444₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K20273RA) Shadow Black / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 5 5500H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050, 4 ГБ /",31 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA506NCR-HN006 (90NR0JV7-M002L0) Graphite Black / 15.6"" IPS 144 Гц / AMD Ryzen 7 7435HS / RAM 16 ГБ / SSD 512 ГБ / RTX 3050, 4 ГБ",33 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad 1 15IAU7 (82QD00JARA) Cloud Grey / 15.6"" IPS / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ",22 999₴,Ноутбуки
"Ноутбук Acer Nitro V 15 ANV15-51-5448 (NH.QNCEU.008) Obsidian Black / 15.6” IPS Full HD 144 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ",36 999₴,Ноутбуки
Ноутбук HP Laptop 15s-eq2056ua (4A7P1EA) Natural Silver / AMD Ryzen 3 5300U / RAM 16 ГБ / SSD 512 ГБ / Підсвітка клавіатури,17 999₴,Ноутбуки
"Ноутбук Acer Nitro V 15 ANV15-51-55UE (NH.QQEEU.001) Obsidian Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4060, 8 ГБ /",45 999₴,Ноутбуки
"Ноутбук Acer Nitro 5 AN515-58-539L (NH.QM0EU.00D) Obsidian Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4060, 8 ГБ",47 777₴,Ноутбуки
"Ноутбук Acer Nitro V 15 ANV15-51-545T (NH.QNBEU.00D) Obsidian Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ",40 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA506NF-HN053 (90NR0JE7-M004J0) Graphite Black + Фірмовий рюкзак / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ / NVIDIA GeForce RTX 2050, 4 ГБ",29 999₴,Ноутбуки
"Ноутбук Acer Aspire 7 A715-76G-51C4 (NH.QN4EU.003) Charcoal Black / Intel Core i5-12450H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050, 4 ГБ / Підсвітка клавіатури",24 999₴,Ноутбуки
"Ноутбук Apple MacBook Pro 16"" M4 Max 36/1TB 2024 (MX303UA/A) Space Black",196 999₴,Ноутбуки
"Ноутбук Acer Aspire 5 A515-57G-56SZ (NX.KMHEU.005) Steel Gray / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050, 4 ГБ",26 888₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IAX9 (83GS0034RA) Luna Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450HX / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 2050",33 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Slim 5 16IRL8 (82XF004NRA) Cloud Grey / 16"" IPS WUXGA / Intel Core i7-13620H / RAM 16 ГБ / SSD 1 ТБ / Підсвітка клавіатури / Зарядка через Type-C",31 999₴,Ноутбуки
Ноутбук HP Laptop 15-fd0059ua (8F2C4EA) Moonlight Blue / Intel Core i3-1315U / RAM 16 ГБ / SSD 512 ГБ,19 999₴,Ноутбуки
"Ноутбук ASUS VivoBook 16 X1605ZA-MB531 (90NB0ZA3-M00H30) Indie Black / 16"" IPS WUXGA+ / Intel Core i5-1235U / RAM 16 ГБ / SSD 1 ТБ",24 499₴,Ноутбуки
Ноутбук Acer Aspire 5 A515-57-59NG (NX.KN4EU.006) Steel Gray / Intel Core i5-12450H / RAM 32 ГБ / SSD 512 ГБ / Підсвітка клавіатури,27 777₴,Ноутбуки
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00SDRA) Cloud Grey / 15.6"" IPS / AMD Ryzen 3 7320U / RAM 16 ГБ / SSD 1 ТБ",19 999₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IRX9 (83DV00KERA) Luna Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i7-13650HX / nVidia GeForce RTX 4060, 8 ГБ / RAM 16 ГБ / SSD 1 ТБ / 4-Zone RGB",53 999₴,Ноутбуки
"Ноутбук HP Victus Gaming 16-s0009ua (8F2D0EA) Performance Blue / AMD Ryzen 5 7640HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ / Підсвітка клавіатури + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",36 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A17 FA707NU-HX023 (90NR0EF6-M00280) Jaeger Gray / 17.3"" IPS 144 Гц / AMD Ryzen 7 7735HS / RAM 16 ГБ / SSD 512 ГБ / RTX 4050, 6 ГБ / Зарядка по USB",48 999₴,Ноутбуки
"Ноутбук Acer Extensa 15 EX215-55-324X (NX.EGYEU.02Z) Steel Gray / 15.6"" IPS / Intel Core i3-1215U / RAM 12 ГБ / SSD 512 ГБ",17 999₴,Ноутбуки
Ноутбук Acer Aspire 3 A315-59-380S (NX.K6SEU.01P) Pure Silver / Intel Core i3-1215U / RAM 16 ГБ / SSD 512 ГБ,18 999₴,Ноутбуки
"Ноутбук HP Victus Gaming 16-r0014ua (9G9J2EA) Performance Blue / 16.1"" IPS Full HD 144 Гц / Intel Core i5-13500H / RAM 32 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",47 999₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IRH8 (82XV00JTRA) Storm Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ",41 999₴,Ноутбуки
Ноутбук ASUS Vivobook Go 15 OLED E1504FA-L1529 (90NB0ZR2-M00U80) Mixed Black,24 499₴,Ноутбуки
"Ноутбук HP Victus Gaming 16-s0014ua (949X1EA) Performance Blue / 16.1"" IPS Full HD 144 Гц / AMD Ryzen 7 7840HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",39 999₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IAX9 (83GS00B6RA) Luna Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450HX / RAM 24 ГБ / SSD 1 ТБ / nVidia GeForce RTX 3050, 6 ГБ /",39 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA506NC-HN068 (90NR0JF7-M00830) Graphite Black + фірмовий рюкзак / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ / NVIDIA GeForce RTX 3050, 4 ГБ /",33 499₴,Ноутбуки
"Ноутбук HP Envy 17-cw0009ua (949X2EA) Natural Silver / 17.3"" IPS Full HD / Intel Core i5-13500H / RAM 16 ГБ / SSD 1 ТБ / Windows 11 Home",42 999₴,Ноутбуки
